intersection,mean_volume,std_volume,peak_morning,peak_evening,weekend_ratio,rain_effect,wind_corr,cluster
삼성SDI3,1878.8872146118722,1403.8471712769601,2768.9616438356165,2354.3616438356166,0.7656163625306743,0.9931359098207363,0.27476905356959425,0
삼성전관3,2587.030821917808,2058.4615585649776,3303.8310502283107,4037.469406392694,0.7274054556977068,1.0604340719527994,0.3354716161764754,1
삼용4,382.2230593607306,299.5663948190763,567.0447488584475,579.3324200913243,0.8608386491301603,1.0704183621977836,0.30189591071221994,0
상수도민원센터3,966.9433789954338,657.0886326538589,1516.1333333333334,1481.2292237442923,0.8833561531517204,0.9463827054905967,0.34713975519151624,0
새말(한라APT입구)4,3990.2536529680365,2483.610314881317,5524.933333333333,5897.627397260274,0.8900238714840485,0.9533182103148828,0.3636071393107527,1
서부대로사거리,2019.7840300107182,1134.6183606456075,2613.6280814576635,3046.2111468381563,0.879890007023441,0.8779895481432031,0.3909556060766615,1
서북경찰서4,1270.945890410959,952.6468227976297,1876.867579908676,1501.5543378995433,0.8363557744108958,0.9797063114600993,0.3099805876704401,0
선경APT3,1870.9563926940639,1193.7272772063113,2574.2438356164384,2828.8301369863016,0.8769770435307429,0.959370981956583,0.3770655575383853,0
선경APT4,1149.9651826484019,708.3265866131022,1419.2812785388128,1759.448401826484,0.867165261901814,1.009696765598882,0.34116579388941903,0
성거삼거리,1339.4319399785638,895.4691756521536,2143.840300107181,2115.1339764201502,0.7621320770027581,0.9494344324347566,0.3113333210911109,0
성성고가교3,643.2103881278539,462.204930266914,924.7260273972603,814.9972602739726,0.8565064026754885,0.9708992524175053,0.2813481004109604,0
성정롯데4,2173.311415525114,1199.0521503218738,2693.566210045662,3132.5351598173515,0.9229882476785622,0.9474796045116909,0.3554374397631096,1
성정중(통계청)4,1492.9454337899544,758.0949395862921,1572.6438356164383,2291.453881278539,0.9084846349311216,0.9863499059485042,0.3669677872763224,0
수경마트4,819.8966894977169,561.1816846166811,1165.199086757991,1238.3826484018264,0.8524795585539414,0.9647516241591104,0.3907535173778447,0
수자인입구4,799.6034246575342,522.2085116918729,1239.97899543379,1134.6127853881278,0.7985717281783955,0.956718205969737,0.3424233402802346,0
시청4,2481.6428082191783,1697.3915487583956,3148.370776255708,3128.7735159817353,0.9531146832547389,1.0327696292947326,0.322848279725116,1
신방3,813.599200913242,537.7226491648524,1190.9497716894978,1219.730593607306,0.8834267888781367,0.9515788555773208,0.37315483400307875,0
쌍용도서관3,2282.0550228310503,1427.8295022542386,3066.1132420091326,3595.93698630137,0.8336242966630641,0.9695274620306988,0.3603773513712459,1
쌍용동4,3057.960388127854,1850.2603529200182,4082.4319634703197,4480.166210045662,0.8756452909879795,0.9365204084017728,0.3810690294271661,1
쌍용아이파크4,1687.2268264840184,1069.8336848728902,2323.132420091324,2570.0730593607304,0.8895536311663041,0.9742429172555918,0.37862534468453446,0
쌍용초교4,2169.5907534246576,1329.93604567527,2900.6173515981736,3277.018264840183,0.860325675838415,0.9706080321957281,0.37507044516364985,1
여성회관4,2968.7800228310502,1643.3335220310937,3656.9278538812787,4329.322374429224,0.8933207836940296,0.968487490743555,0.37148654873558734,1
역말5,1561.2867579908675,998.8823500647667,2091.9680365296804,2432.7022831050226,0.9044267553032694,0.9133933207045501,0.3776149242975383,0
용암4,2219.655707762557,1403.829325346202,3019.753424657534,3450.5415525114154,0.8371826142613279,0.9595603481457697,0.3537276307856382,1
